00001302,三井ガーデンホテルプラナ東京ベイ,千葉県／新浦安,550 ,279-0014,千葉県,浦安市明海6-2-1,35.635928,139.924681,舞浜・東京ベイサイド,
00003151,星野リゾート　1955 東京ベイ,千葉県／浦安市,638 ,279-0013,千葉県,浦安市日の出7丁目2-3,35.637362,139.931894,舞浜・東京ベイサイド,
00002272,東京ディズニーセレブレーションホテル?,千葉県／新浦安,702 ,279-8502,千葉県,浦安市明海7丁目1番1号,35.637791,139.929599,舞浜・東京ベイサイド,
00001089,オリエンタルホテル 東京ベイ,千葉県／新浦安,511 ,279-0011,千葉県,浦安市美浜1-8-2,35.650622,139.912729,舞浜・東京ベイサイド,
00001806,パレスホテル東京,東京都／丸の内／大手町地下通路直結,284 ,100-0005,東京都,千代田区丸の内1-1-1,35.684658,139.761258,東京,
00002620,The Okura Tokyo,東京都／虎ノ門,508 ,105-0001,東京都,港区虎ノ門2-10-4,35.666925,139.743978,東京,
00001833,東京ステーションホテル,東京都／東京駅丸の内南口直結,150 ,100-0005,東京都,千代田区丸の内1-9-1 JR東京駅丸の内南口直結,35.681295,139.765932,東京,
00002130,ホテルニューオータニ,東京都／赤坂見附駅 徒歩3分,1474 ,102-8578,東京都,千代田区紀尾井町4-1,35.681248,139.734155,東京,
00001425,シャングリ・ラ 東京,東京都／丸の内・東京駅隣接,200 ,100-8283,東京都,千代田区丸の内1-8-3　丸の内トラストタワー本館,35.682535,139.769472,東京,
00000315,帝国ホテル 東京,東京都／日比谷,544 ,100-8558,東京都,千代田区内幸町1-1-1,35.672511,139.75842,東京,
00000946,ザ・プリンス パークタワー東京,東京都／都営三田線「芝公園駅」A4出口徒歩3分,603 ,105-8563,東京都,港区芝公園4-8-1,35.655482,139.747183,東京,
00000171,東京ドームホテル,東京都／水道橋駅 徒歩2分,1006 ,112-8562,東京都,文京区後楽1-3-61,35.703618,139.753517,東京,
00000644,グランドプリンスホテル新高輪,東京都／JR品川駅徒歩約5分,908 ,108-8612,東京都,港区高輪3-13-1,35.629898,139.733466,東京,
00001290,ザ・リッツ・カールトン東京,東京都／東京ミッドタウン・六本木駅直結,245 ,107-6245,東京都,港区赤坂9-7-1　東京ミッドタウン,35.666512,139.731245,東京,
00000355,セルリアンタワー東急ホテル,東京都／渋谷駅徒歩5分,408 ,150-8512,東京都,渋谷区桜丘町26-1,35.656406,139.699523,東京,
00000186,ホテル椿山荘東京,東京都／江戸川橋,266 ,112-8680,東京都,文京区関口　2-10-8,35.712203,139.726167,東京,
00000588,パーク ハイアット 東京,東京都／西新宿,177 ,163-1055,東京都,新宿区西新宿3-7-1-2,35.685583,139.69062,東京,
00002829,フォーシーズンズホテル東京大手町,東京都／大手町ワンタワー・大手町駅直結,190 ,100-0004,東京都,千代田区大手町1-2-1,35.68758,139.763269,東京,
